,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
133,LAIN-LAIN,4500000.0,DIFFERENT,8200000,1000000.0,52,395000,a) LANCAR
134,PETANI,3000000.0,SAME,10000000,1000000.0,45,466000,a) LANCAR
135,PEGAWAI SWASTA,4500000.0,DIFFERENT,6300000,1750000.0,52,353000,a) LANCAR
136,PEDAGANG,3000000.0,SAME,9800000,1250000.0,56,729000,a) LANCAR
137,PEDAGANG,3500000.0,SAME,14500000,1000000.0,49,520000,a) LANCAR
138,PETANI,4000000.0,DIFFERENT,8300000,900000.0,56,507000,a) LANCAR
139,PEDAGANG,3000000.0,DIFFERENT,16800000,100000.0,40,362000,a) LANCAR
140,PETANI,4000000.0,DIFFERENT,10000000,900000.0,56,507000,a) LANCAR
141,PEGAWAI SWASTA,3000000.0,DIFFERENT,6900000,800000.0,27,343000,a) LANCAR
142,LAIN-LAIN,4000000.0,DIFFERENT,5300000,,40,354000,a) LANCAR
143,Karyawan Swasta,2500000.0,DIFFERENT,6300000,250000.0,36,303000,a) LANCAR
144,PEDAGANG,4000000.0,DIFFERENT,7900000,1500000.0,41,418000,a) LANCAR
145,PEGAWAI SWASTA,4000000.0,SAME,27500000,,25,629000,a) LANCAR
146,PETANI,3000000.0,DIFFERENT,4500000,1000000.0,47,308000,a) LANCAR
147,PEDAGANG,30000000.0,DIFFERENT,13200000,,39,564000,a) LANCAR
148,LAIN-LAIN,3000000.0,SAME,6300000,1000000.0,33,362000,a) LANCAR
149,DOKTER/BIDAN/MANTRI,4000000.0,DIFFERENT,4400000,1000000.0,46,362000,a) LANCAR
150,PEDAGANG,3500000.0,SAME,18100000,,53,613000,a) LANCAR
151,PEGAWAI NEGERI/BUMN,5500000.0,DIFFERENT,11000000,2500000.0,41,454000,a) LANCAR
152,PEDAGANG,5000000.0,DIFFERENT,14700000,2000000.0,31,667000,a) LANCAR
153,PEDAGANG,3500000.0,DIFFERENT,8200000,1200000.0,38,560000,a) LANCAR
154,PETERNAK,3900000.0,DIFFERENT,14400000,1000000.0,41,613000,a) LANCAR
